"event_id","journey_uid","sequence_number","event_category","event_type","occurred_at","recorded_at","truck_plate","normalized_plate","is_valid_plate","sector_code","device_code","alert_level","committee_source_journey_uid","committee_segment_index","committee_temporal_bucket","committee_operational_circuit","committee_flags","related_alert_count","related_alert_ids"
"29216","bd67f419-4aee-4063-8d32-d8595555cc28","5","physical","sector_entered","2026-05-16T23:58:28.354-03:00","2026-05-16T23:58:28.354-03:00","AG085YQ","AG085YQ","true","RICARDONE_BALANZA","RicB1Ingreso","0","bd67f419-4aee-4063-8d32-d8595555cc28","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"14833","275b23b9-22c2-4fe1-b872-631abf2b812d__committee_seg_0","1","physical","sector_entered","2026-05-12T16:21:54.596-03:00","2026-05-12T16:21:54.596-03:00","TRJ739","TRJ739","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","275b23b9-22c2-4fe1-b872-631abf2b812d","0","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"14835","275b23b9-22c2-4fe1-b872-631abf2b812d__committee_seg_0","2","physical","sector_entered","2026-05-12T16:25:44.787-03:00","2026-05-12T16:25:44.787-03:00","TRJ739","TRJ739","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","275b23b9-22c2-4fe1-b872-631abf2b812d","0","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"28606","275b23b9-22c2-4fe1-b872-631abf2b812d__committee_seg_1","4","physical","sector_entered","2026-05-16T19:43:47.866-03:00","2026-05-16T19:43:47.866-03:00","TRJ739","TRJ739","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","275b23b9-22c2-4fe1-b872-631abf2b812d","1","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"28618","275b23b9-22c2-4fe1-b872-631abf2b812d__committee_seg_1","5","physical","sector_entered","2026-05-16T19:49:00.911-03:00","2026-05-16T19:49:00.911-03:00","TRJ739","TRJ739","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","275b23b9-22c2-4fe1-b872-631abf2b812d","1","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"29191","275b23b9-22c2-4fe1-b872-631abf2b812d__committee_seg_1","6","physical","sector_entered","2026-05-16T23:44:43.714-03:00","2026-05-16T23:44:43.714-03:00","TRJ739","TRJ739","true","RICARDONE_CALADA","RicCal04","0","275b23b9-22c2-4fe1-b872-631abf2b812d","1","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"29215","275b23b9-22c2-4fe1-b872-631abf2b812d__committee_seg_1","7","physical","sector_entered","2026-05-16T23:57:18.349-03:00","2026-05-16T23:57:18.349-03:00","TRJ739","TRJ739","true","RICARDONE_BALANZA","RicB1Ingreso","0","275b23b9-22c2-4fe1-b872-631abf2b812d","1","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"28624","e191c920-1e93-4958-80f5-47cb6ec660fb","1","physical","sector_entered","2026-05-16T19:50:45.891-03:00","2026-05-16T19:50:45.891-03:00","RPH439","RPH439","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","e191c920-1e93-4958-80f5-47cb6ec660fb","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29189","e191c920-1e93-4958-80f5-47cb6ec660fb","2","physical","sector_entered","2026-05-16T23:44:12.313-03:00","2026-05-16T23:44:12.313-03:00","RPH439","RPH439","true","RICARDONE_CALADA","RicCal01","0","e191c920-1e93-4958-80f5-47cb6ec660fb","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29211","e191c920-1e93-4958-80f5-47cb6ec660fb","3","physical","sector_entered","2026-05-16T23:56:03.145-03:00","2026-05-16T23:56:03.145-03:00","RPH439","RPH439","true","RICARDONE_BALANZA","RicB1Ingreso","0","e191c920-1e93-4958-80f5-47cb6ec660fb","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28632","4aae6aab-ffbb-40b1-a588-f4884354f98f","1","physical","sector_entered","2026-05-16T19:51:46.694-03:00","2026-05-16T19:51:46.694-03:00","GBP207","GBP207","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","4aae6aab-ffbb-40b1-a588-f4884354f98f","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28645","4aae6aab-ffbb-40b1-a588-f4884354f98f","2","physical","sector_entered","2026-05-16T19:56:17.499-03:00","2026-05-16T19:56:17.499-03:00","GBP207","GBP207","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","4aae6aab-ffbb-40b1-a588-f4884354f98f","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29209","4aae6aab-ffbb-40b1-a588-f4884354f98f","3","physical","sector_entered","2026-05-16T23:53:23.593-03:00","2026-05-16T23:53:23.593-03:00","GBP207","GBP207","true","RICARDONE_CALADA","RicCal01","0","4aae6aab-ffbb-40b1-a588-f4884354f98f","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28643","060df419-2a12-48e5-8b8a-9aefda0bb5d5","1","physical","sector_entered","2026-05-16T19:55:29.427-03:00","2026-05-16T19:55:29.427-03:00","KJP519","KJP519","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","060df419-2a12-48e5-8b8a-9aefda0bb5d5","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28649","060df419-2a12-48e5-8b8a-9aefda0bb5d5","2","physical","sector_entered","2026-05-16T19:58:13.985-03:00","2026-05-16T19:58:13.985-03:00","KJP519","KJP519","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","060df419-2a12-48e5-8b8a-9aefda0bb5d5","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
