reconstructed_journey_id,merged_source_journey_count,source_journey_uids,observed_logical_len,flags,notes
"rv2_ricardone_7ae4lc_1778683693943_0_baqu8b","1","c6baf1d1-bea5-4f18-84e4-b7c7f436853f","3","RECON|LOOP",""
"rv2_ricardone_yj253i_1778683757069_0_5oifby","1","95e7d873-c738-460a-9fb0-e564d8471e6f__committee_seg_0","3","RECON|LOOP",""
"rv2_ricardone_tnh6mc_1778683821393_1_12g9md","1","42cb5c07-9caa-4006-bb1f-fa6875d895d9","3","RECON|LOOP",""
"rv2_ricardone_wtqv15_1778683982922_0_ek9f8i","1","4c1533b4-aa5d-4efa-b35f-0e93a3f111c5","3","RECON|LOOP",""
"rv2_ricardone_yjy1qy_1778684059726_0_uv5mnx","1","b7a3d706-c971-4ce7-973a-c4c3f435ff0a__committee_seg_0","3","RECON|LOOP",""
"rv2_ricardone_xoy8mq_1778684120530_0_s1gej6","1","a6329a59-198f-47a1-8969-0b7c8b8072ce__committee_seg_0","3","RECON|LOOP",""
"rv2_ricardone_yngik7_1778684259338_0_f56zrv","1","bd80826a-5fff-42c1-86c2-8f1b91248007","3","RECON|LOOP",""
"rv2_ricardone_xp4b8r_1778684337421_0_pdyspc","1","248834fc-de1b-493d-9404-2ea22da12da4","3","RECON|LOOP",""
"rv2_ricardone_ynp5im_1778684489509_0_tvaa2t","1","6ea0ce1a-d14d-4614-aa11-03c5fbc4f60a","3","RECON|LOOP",""
"rv2_ricardone_5ggmok_1778685386761_0_n71bbm","1","deffaa5a-691b-4a8c-a646-5f951992920a","3","RECON|LOOP",""
"rv2_ricardone_6ugo4b_1778685468206_0_y5sy01","1","2159a770-d1b6-44e5-be41-a50428279dc5","3","RECON|LOOP",""
"rv2_ricardone_8a6ksj_1778686027674_0_4gp88c","1","46bd3604-76ac-4f84-bdbe-7916ec234252","3","RECON|LOOP",""
"rv2_ricardone_xyp72m_1778686174082_0_j27eb1","1","b359965a-6103-4449-8854-c6f73db73a7f","3","RECON|LOOP",""
"rv2_ricardone_xpa1h4_1778686331213_0_21l2m","1","9fe38f61-a6a0-4af9-9a1e-2bb4ad9caf93","3","RECON|LOOP",""
"rv2_ricardone_8qm0fm_1778691271884_0_qa12ui","1","194a3b13-1a56-4ebc-8c43-f90f5de0b293","3","RECON|LOOP",""
"rv2_ricardone_6gqjd1_1778692758789_0_v308f2","2","29a24985-993a-468a-a2be-7a3f1674bea9|d78d9e81-4dfc-4a8b-84a5-09148ce5e795","5","MERGED_UIDS|RECON|LOOP","SIMULTANEA_ILOGICA"
"rv2_ricardone_wjfh5l_1778692825671_0_lo8xhz","2","59863efc-c55e-4625-94f3-c6888cf7940c|90d072e4-fe6e-457c-b2f0-05e994bd8cab","3","MERGED_UIDS|RECON",""
"rv2_ricardone_xgega6_1778696639535_1_t7pwot","1","e34ffc73-215d-40b5-9152-0d2aef9a164a","3","RECON|LOOP",""
"rv2_ricardone_wckgyh_1778696813065_1_vc0zl5","1","80fbfd99-22bf-4fad-b83b-875445b808fb","3","RECON|LOOP",""
"rv2_ricardone_yb3r8w_1778697018755_1_nd9rj6","1","f0e8ce95-0f8a-4fb7-9d28-f2ae708a4130","3","RECON|LOOP",""
"rv2_ricardone_z72sb0_1778697089002_1_rrtl4b","1","7315eca2-08d5-47e2-913a-b79e8f94d3f8","3","RECON|LOOP",""
"rv2_ricardone_6xtyi3_1778697332136_1_gzobzf","1","a80ace21-ea5b-48b5-b15d-38cf37b5a103","3","RECON|LOOP",""
"rv2_ricardone_w7h5el_1778703555041_0_st3wx5","2","09ea7f34-e175-40c2-bf4c-53e4ffc8d298|a457f05a-cb07-40b8-9d28-f79230d09043","4","MERGED_UIDS|RECON","SIMULTANEA_ILOGICA"
"rv2_ricardone_x9iq2h_1778703930902_1_vi709r","2","3a38f51b-325b-4d62-874f-b0c416d0d8a5|eae5e2e8-9d12-4484-bbb4-617a0e748e23","2","MERGED_UIDS|RECON",""
"rv2_ricardone_xxjoaz_1778704181957_1_x9r2mg","2","309435cc-ce86-4ea6-ba1b-400924a97023|c21d4815-4d84-4bab-ac6d-44cb97cee1da","3","MERGED_UIDS|RECON",""
"rv2_ricardone_yrlc0k_1778704818795_1_dpa1pn","2","3f9e0ca3-6754-41ba-af7c-fb923a585b9c|773f63fd-bdb3-46f7-be41-d88d6901db94","4","MERGED_UIDS|RECON","SIMULTANEA_ILOGICA"
"rv2_ricardone_xcw06o_1778705791011_2_6lzrwo","2","1f32e0e0-1027-4e88-bc3e-b961e0841b26__committee_seg_2|a62a0e35-031e-4689-a724-49bc75bfeb5e__committee_seg_0","3","MERGED_UIDS|RECON",""
"rv2_ricardone_5hhrsv_1778706894818_1_q88pvp","2","8648417d-6dcb-4f7c-b787-c930ad5cccf8|a0e2b675-dd87-4396-b391-6abe4933b3d6","3","MERGED_UIDS|RECON",""
"rv2_ricardone_7ev1cs_1778707373966_1_nbtkfw","2","509edbb1-14ca-4dea-a867-3fdff4cc1800|f0062b36-fb88-4b46-8cb3-d277d656fa1c","3","MERGED_UIDS|RECON",""
"rv2_ricardone_5vb90a_1778707738229_0_x3lyvo","2","0f96f979-9ee8-4907-8d73-e2fdbf887bc6|cc261406-3dd9-4c27-aa4d-3d6c5cf16185","4","MERGED_UIDS|RECON",""
"rv2_ricardone_x1xe7w_1778707977457_0_k8bcir","2","7b0eab7a-362c-4fbf-b8af-b2943ffb3fd7__committee_seg_0|b6950fd3-5677-429a-b401-a221189ca55b","2","MERGED_UIDS|RECON","SIMULTANEA_ILOGICA"
"rv2_ricardone_z9o9hu_1778708349044_1_o9466","1","3ef4b2a6-f02d-4f86-9204-ff455625d55e","3","RECON|LOOP",""
"rv2_ricardone_xs765g_1778708439210_1_8i7vyz","1","a4f1e9fe-03ac-4e43-a036-5959cc2bdf89","3","RECON|LOOP",""
"rv2_ricardone_8ba89o_1778708574338_1_fahco","1","768e6b00-8ed2-4f0b-bc9c-ea5b14346490","3","RECON|LOOP",""
"rv2_ricardone_7actz7_1778709584550_1_b6r967","1","afdf282c-f1b4-4744-9b16-39ea3fa36fae","3","RECON|LOOP",""
"rv2_ricardone_x822ng_1778709725837_1_lqt1m","1","61ef504c-eb90-40ec-a15f-886276f1d14e__committee_seg_1","3","RECON|LOOP",""
"rv2_ricardone_6yaqtb_1778709862327_1_srpv38","1","4859862c-fffd-45a3-b2e1-38286563f3aa","3","RECON|LOOP",""
"rv2_ricardone_yb6ajr_1778710023297_1_4ggatj","1","679ab0c5-e2ca-415c-b84c-fc1c46d6b048","3","RECON|LOOP",""
"rv2_ricardone_vx2ef9_1778710342512_1_ghj1gp","1","540baff3-5f8d-496d-ae35-0c6840760f86","3","RECON|LOOP",""
"rv2_ricardone_894xcp_1778715204692_1_51uhya","1","f0336184-164c-4a79-8cf1-3747fdbf7b48","3","RECON|LOOP",""
"rv2_ricardone_v0n46f_1778717258240_1_30c0v1","2","3ef3230e-73f1-4bfe-87dc-bdb147d95b49|a75b2c6d-ed5f-43cf-aabb-053b56cde280","5","MERGED_UIDS|RECON",""
"rv2_ricardone_5vw8jr_1778722505082_1_sdhfta","1","d35a6d2a-857d-41a9-91f3-c60e4d8d20b4","3","RECON|LOOP",""
"rv2_ricardone_t1oz4z_1778724916811_1_dipna9","1","6270a700-0f99-4969-9115-1abd24986aff","3","RECON|LOOP",""
"rv2_ricardone_5wuqow_1778725228184_2_wwb437","2","31d1a4e5-10a0-443e-b1c6-fc6f5b424496|84dd1aa8-9c4d-4d62-8bc8-c2ba9393a544","2","MERGED_UIDS|RECON",""
"rv2_ricardone_6dyxc3_1778725783176_1_yo0wp5","1","cefa2a8f-53b8-4822-8a3f-a27645f0962c","3","RECON|LOOP",""
"rv2_ricardone_y7vjr3_1778726002707_1_kqhgkz","1","853df9cc-4a9c-4a1e-ba93-2b867677a115","3","RECON|LOOP",""
"rv2_ricardone_7ri96d_1778726518484_0_c8zmwp","2","0b84761b-48f6-45a6-a24c-cd488f06f6bc|69c30a0f-dd3f-43ba-9597-8d98f0b62027","2","MERGED_UIDS|RECON",""
"rv2_ricardone_8brgch_1778726686262_1_81iubx","1","c29aff7b-209f-4987-a967-b78c62cfe309__committee_seg_1","3","RECON|LOOP",""
"rv2_ricardone_ujwwgq_1778727217812_1_xbolxr","1","446ab973-fcb8-4fcc-8ac4-dc832d740036","3","RECON|LOOP",""
"rv2_ricardone_xj2ul2_1778727685514_1_c4bzkd","1","4e18a3c8-5760-441c-b63f-eabf59a87a88","3","RECON|LOOP",""
"rv2_ricardone_zd37zw_1778730005719_1_oy0rkq","1","a7176b04-b290-44d4-8972-a6b006d9accd","3","RECON|LOOP",""
"rv2_ricardone_7az9ep_1778735052149_1_n7968q","1","3b5494f6-9682-4d36-a31a-13e5b6ef12dc","3","RECON|LOOP",""
