"raw_id","journey_uid","plate","truck_plate","sector_code","device_code","site","alert_type","type_alt","reason","message","occurred_at","created_at","recorded_at","alert_level","payload_json"
"31622","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:41:49.256961-03:00","","","{""plate"": ""BOG"", ""eventId"": ""RicIngCamTrasera-27841"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""BOG""}"
"31621","61fbe205-5f4f-446d-ac60-df84bb4bfc78","","DZQ005","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T07:41:24.936269-03:00","","","{}"
"31620","","","","RICARDONE_BALANZA","RicB2Egreso","","","","","","","2026-05-17T07:41:06.308538-03:00","","","{""plate"": ""C33"", ""eventId"": ""RicB2Egreso-17809"", ""deviceCode"": ""RicB2Egreso"", ""normalizedPlate"": ""C33""}"
"31619","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:41:04.25687-03:00","","","{""plate"": ""C1D"", ""eventId"": ""RicIngCamTrasera-27833"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""C1D""}"
"31618","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:40:19.255654-03:00","","","{""plate"": ""P37"", ""eventId"": ""RicIngCamTrasera-27825"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""P37""}"
"31617","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T07:39:54.392-03:00","","","{""plate"": ""BRLSA"", ""eventId"": ""RicPreIngInTr-27649"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""BRLSA""}"
"31616","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:39:49.25626-03:00","","","{""plate"": ""B58"", ""eventId"": ""RicIngCamTrasera-27817"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""B58""}"
"31615","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:39:34.254756-03:00","","","{""plate"": ""OAB0"", ""eventId"": ""RicIngCamTrasera-27809"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""OAB0""}"
"31614","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:39:29.253491-03:00","","","{""plate"": ""ZAV"", ""eventId"": ""RicIngCamTrasera-27801"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""ZAV""}"
"31613","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:39:19.255096-03:00","","","{""plate"": ""GG6"", ""eventId"": ""RicIngCamTrasera-27793"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""GG6""}"
"31612","40c48514-3b6c-4d24-bd6e-f1fd0b494a25","","IER2485","RICARDONE_BALANZA","RicB2Egreso","","","","","","","2026-05-17T07:38:59.527418-03:00","","","{}"
"31611","40c48514-3b6c-4d24-bd6e-f1fd0b494a25","","IER2485","RICARDONE_BALANZA","RicB2Egreso","","","","","","","2026-05-17T07:38:59.521473-03:00","","","{}"
"31610","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T07:38:39.256821-03:00","","","{""plate"": ""T40"", ""eventId"": ""RicIngCamTrasera-27777"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""T40""}"
"31609","","","","RICARDONE_CELDA_16","RicC16Descarga1","","","","","","","2026-05-17T07:38:15.60533-03:00","","","{""plate"": ""AA960"", ""eventId"": ""RicC16Descarga1-6585"", ""deviceCode"": ""RicC16Descarga1"", ""normalizedPlate"": ""AA960""}"
"31608","","","","RICARDONE_CELDA_16","RicC16Descarga2","","","","","","","2026-05-17T07:37:15.117429-03:00","","","{""plate"": ""AR3MA7"", ""eventId"": ""RicC16Descarga2-18897"", ""deviceCode"": ""RicC16Descarga2"", ""normalizedPlate"": ""AR3MA7""}"
"31607","","","","RICARDONE_CELDA_16","RicC16Descarga2","","","","","","","2026-05-17T07:37:14.924484-03:00","","","{""plate"": ""AR8NA2"", ""eventId"": ""RicC16Descarga2-18889"", ""deviceCode"": ""RicC16Descarga2"", ""normalizedPlate"": ""AR8NA2""}"
