journey_id,patente,producto,circuito,tramo_operativo,sector,planta,segment_from,segment_to,timestamp_inicio,timestamp_fin,fecha_tramo,hora_inicio,franja_horaria,color_franja,duracion_minutos,estado_ejecutivo,es_ultimo_cuarto,p75_tramo,p90_tramo,horario_fuente,horario_fuente_inicio,horario_fuente_fin
CTG_10233169621,AE847RN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T21:51:00,2026-06-29T00:01:00,2026-06-28,21:51,20_02,#dc2626,130,,false,288.3,337.9,truckflow,,
CTG_10233189549,PLE163,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T12:36:00,2026-06-28T14:54:00,2026-06-28,12:36,08_14,#f97316,138,,false,288.3,337.9,truckflow,,
CTG_10233186084,DHL111,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T10:15:00,2026-06-28T12:41:00,2026-06-28,10:15,08_14,#f97316,146,,false,288.3,337.9,truckflow,,
CTG_10233183742,RDV273,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T22:01:00,2026-06-29T01:09:00,2026-06-28,22:01,20_02,#dc2626,188,,false,288.3,337.9,truckflow,,
CTG_10233176778,FKJ492,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T22:39:00,2026-06-29T02:04:00,2026-06-28,22:39,20_02,#dc2626,205,,false,334.5,351.9,truckflow,,
CTG_10233189371,OKR140,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T23:43:00,2026-06-29T03:09:00,2026-06-28,23:43,20_02,#dc2626,206,,false,334.5,351.9,truckflow,,
CTG_10233184873,ROX620,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T04:27:00,2026-06-28T08:11:00,2026-06-28,04:27,02_08,#2563eb,224,,false,334.5,351.9,truckflow,,
CTG_10233167091,ERI209,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T22:08:00,2026-06-29T01:55:00,2026-06-28,22:08,20_02,#dc2626,227,,false,288.3,337.9,truckflow,,
CTG_10233178017,KSB500,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T22:39:00,2026-06-29T02:29:00,2026-06-28,22:39,20_02,#dc2626,230,,false,334.5,351.9,truckflow,,
CTG_10233187188,CIF907,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T23:44:00,2026-06-29T03:39:00,2026-06-28,23:44,20_02,#dc2626,235,,false,288.3,337.9,truckflow,,
