external_operation_id,journey_uid,plate_normalized,product_normalized,platform_normalized,resolved_circuit_family,resolved_operational_point,segment_order_global,segment_order_journey,segment_name,segment_from,segment_to,segment_start_time,segment_end_time,segment_duration_min,segment_plant,segment_leg,truckflow_circuit_code,resolved_executive_circuit_code,truckflow_executive_status,truckflow_valid_detail,match_quality,route_quality,analysis_ready_for_scatter,analysis_warning,external_ingreso_at,external_salida_at,external_calado_at
CTG_10133178533,,UZY860,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T16:27:00,2026-06-27T18:04:00,97,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T16:27:00,2026-06-27T18:04:00,2026-06-27T16:46:00
CTG_10133156606,,UCN502,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T14:04:00,2026-06-27T18:38:00,274,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T14:04:00,2026-06-27T18:38:00,2026-06-27T16:47:00
CTG_10233179270,,LSM425,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T18:18:00,2026-06-27T20:51:00,153,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T18:18:00,2026-06-27T20:51:00,2026-06-27T20:15:00
CTG_10233181413,,ISX147,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T18:30:00,2026-06-27T21:53:00,203,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T18:30:00,2026-06-27T21:53:00,2026-06-27T20:17:00
CTG_10233183444,,AH345NE,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T18:55:00,2026-06-27T22:09:00,194,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T18:55:00,2026-06-27T22:09:00,2026-06-27T20:20:00
CTG_10233181295,,BKJ548,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T18:33:00,2026-06-27T22:33:00,240,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T18:33:00,2026-06-27T22:33:00,2026-06-27T20:19:00
CTG_10233183824,,GHN484,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T19:07:00,2026-06-28T01:10:00,363,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T19:07:00,2026-06-28T01:10:00,2026-06-27T20:24:00
CTG_10233182118,,GQC488,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T19:19:00,2026-06-28T01:12:00,353,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T19:19:00,2026-06-28T01:12:00,2026-06-27T20:22:00
CTG_10233182263,,SMC098,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T19:19:00,2026-06-28T01:17:00,358,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T19:19:00,2026-06-28T01:17:00,2026-06-27T20:28:00
CTG_10233184216,,CLY413,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T19:46:00,2026-06-28T01:34:00,348,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T19:46:00,2026-06-28T01:34:00,2026-06-27T20:30:00
