external_operation_id,plate_normalized,external_ingreso_at,external_salida_at,product_normalized,platform_normalized,planta_normalized,movement_type,source_file,reason
CTG_10133117652,HYC334,2026-06-25T16:56:00,2026-06-26T02:09:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133114308,GSJ964,2026-06-25T17:04:00,2026-06-26T02:11:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233121323,AD312ML,2026-06-25T16:54:00,2026-06-26T02:12:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133113252,AD428GD,2026-06-25T16:35:00,2026-06-26T02:14:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133082036,AC687NQ,2026-06-25T14:33:00,2026-06-26T02:15:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133102999,RTX183,2026-06-25T16:07:00,2026-06-26T02:23:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233111142,RPW636,2026-06-25T16:11:00,2026-06-26T02:28:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133097842,AD364MY,2026-06-25T16:16:00,2026-06-26T02:29:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233121165,HDT439,2026-06-25T16:25:00,2026-06-26T02:31:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233110324,AC886EH,2026-06-25T16:30:00,2026-06-26T02:32:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233108986,IVH948,2026-06-25T16:31:00,2026-06-26T02:35:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233106587,KPG455,2026-06-25T17:26:00,2026-06-26T02:37:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133118648,KLC865,2026-06-25T16:53:00,2026-06-26T02:39:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133119062,AB810JK,2026-06-25T17:21:00,2026-06-26T02:43:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233109557,EFJ994,2026-06-25T14:52:00,2026-06-26T02:44:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233129393,FZT345,2026-06-25T17:37:00,2026-06-26T02:46:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133092242,JHB403,2026-06-25T15:15:00,2026-06-26T02:48:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133111328,AH269XK,2026-06-25T15:41:00,2026-06-26T02:49:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233130292,NFJ540,2026-06-25T17:54:00,2026-06-26T02:50:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133113280,AB964JF,2026-06-25T17:50:00,2026-06-26T02:52:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133112287,SQS896,2026-06-25T17:59:00,2026-06-26T02:53:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133122642,AB913BM,2026-06-25T18:05:00,2026-06-26T02:54:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133102520,FGF573,2026-06-25T16:20:00,2026-06-26T02:56:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133109465,KWK183,2026-06-25T14:35:00,2026-06-26T03:04:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233115386,MSC110,2026-06-25T18:14:00,2026-06-26T03:07:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133135128,SBP634,2026-06-25T18:16:00,2026-06-26T03:12:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133117256,BYI690,2026-06-25T18:44:00,2026-06-26T03:13:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233132441,ORJ479,2026-06-25T18:51:00,2026-06-26T03:19:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133105243,LDU084,2026-06-25T15:27:00,2026-06-26T03:27:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133115027,PDK400,2026-06-25T16:00:00,2026-06-26T03:29:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133092704,ENG699,2026-06-25T17:43:00,2026-06-26T03:35:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133108875,MVJ247,2026-06-25T16:04:00,2026-06-26T03:41:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133131550,LTL241,2026-06-25T17:27:00,2026-06-26T03:43:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233124046,FEI083,2026-06-25T16:24:00,2026-06-26T03:44:00,GIRASOL,VOLCABLE_1,RICARDONE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133103711,AD898KS,2026-06-25T16:15:00,2026-06-26T03:52:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133122278,AH415RB,2026-06-25T16:17:00,2026-06-26T04:01:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133109735,HXJ421,2026-06-25T19:11:00,2026-06-26T04:05:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233106529,AC552SN,2026-06-26T00:22:00,2026-06-26T04:10:00,GIRASOL,VOLCABLE_1,RICARDONE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233114328,AF417JU,2026-06-25T19:28:00,2026-06-26T04:11:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133128183,MBJ195,2026-06-25T16:16:00,2026-06-26T04:15:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233131766,FCI638,2026-06-25T18:37:00,2026-06-26T04:25:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133115576,ISW855,2026-06-25T19:54:00,2026-06-26T04:27:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133108296,GFC613,2026-06-25T18:26:00,2026-06-26T04:28:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233130516,AD089BH,2026-06-25T18:58:00,2026-06-26T04:30:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133105506,AE200RZ,2026-06-25T17:14:00,2026-06-26T04:31:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133117121,BPC873,2026-06-25T18:43:00,2026-06-26T04:32:00,SOJA,VOLCABLE_PTO_1,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233107886,UNX312,2026-06-25T19:10:00,2026-06-26T04:34:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133098853,AB399XT,2026-06-25T17:44:00,2026-06-26T04:40:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133110742,HGO933,2026-06-25T19:25:00,2026-06-26T04:43:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233107827,BKT313,2026-06-26T00:23:00,2026-06-26T04:43:00,GIRASOL,VOLCABLE_1,RICARDONE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233138521,IAC407,2026-06-25T19:43:00,2026-06-26T04:49:00,MAIZ,CELDA_171_-_CENTRO,AVELLANEDA,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133125208,INN437,2026-06-25T19:09:00,2026-06-26T04:52:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133111855,AI157RN,2026-06-25T17:45:00,2026-06-26T04:59:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133130356,DCI436,2026-06-25T20:12:00,2026-06-26T05:01:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133121954,CCZ700,2026-06-25T20:02:00,2026-06-26T05:02:00,SOJA,VOLCABLE_PTO_2,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133127095,CCV220,2026-06-25T18:11:00,2026-06-26T05:03:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10233138946,EQV087,2026-06-25T20:37:00,2026-06-26T05:08:00,SOJA,VOLCABLE_PTO_3,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
CTG_10133099357,NTC940,2026-06-25T18:42:00,2026-06-26T05:11:00,SOJA,VOLCABLE_PTO_5,TERMINAL_EMBARQUE,INGRESO,MovimientosPorContrato_20260626.xlsx,NO_TRUCKFLOW_MATCH
