external_operation_id,plate_normalized,product_normalized,platform_normalized,external_ingreso_at,external_calado_at,external_salida_at,source_date,no_truckflow_reason,nearest_truckflow_journey_uid,nearest_truckflow_start_time,nearest_truckflow_end_time,nearest_time_delta_min,same_plate_journey_count,same_plate_journey_count_in_period,same_plate_journey_count_in_window,fuzzy_plate_candidates,diagnostic_detail
CTG_10233111207,JAX039,SOJA,VOLCABLE_PTO_1,2026-06-25T14:37:00,2026-06-25T22:23:00,2026-06-26T01:20:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233123060,ROP870,SOJA,VOLCABLE_PTO_2,2026-06-25T14:54:00,2026-06-25T22:40:00,2026-06-26T01:21:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233126631,AF948GL,SOJA,VOLCABLE_PTO_1,2026-06-25T14:44:00,2026-06-25T22:27:00,2026-06-26T01:23:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133120193,OPJ402,SOJA,VOLCABLE_PTO_3,2026-06-25T15:23:00,2026-06-25T22:56:00,2026-06-26T01:25:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133106661,OTJ010,SOJA,VOLCABLE_PTO_1,2026-06-25T13:42:00,2026-06-25T21:23:00,2026-06-26T01:27:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233119254,DVC925,SOJA,VOLCABLE_PTO_2,2026-06-25T15:07:00,2026-06-25T22:53:00,2026-06-26T01:28:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
COMPROB_000200430700,AH210AI,CHIP DE PINO,PLAYA_LEÑA_Y_CHIP,2026-06-26T00:38:00,,2026-06-26T01:29:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233123625,FGI619,SOJA,VOLCABLE_PTO_5,2026-06-25T14:57:00,2026-06-25T22:46:00,2026-06-26T01:30:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233120202,AD874WH,SOJA,VOLCABLE_PTO_3,2026-06-25T16:00:00,2026-06-25T23:08:00,2026-06-26T01:31:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133115967,MUS277,SOJA,VOLCABLE_PTO_1,2026-06-25T15:27:00,2026-06-25T22:58:00,2026-06-26T01:33:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
