executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R8,ab443d3b-1323-44a6-adbf-cc9acf5ff4de__cycle_5,,PREINGRESO,LIQUIDO,preingreso → líquido,2.11
R1,be92464c-529e-412a-9f7e-981e662fb5ab,,INGRESO,PREINGRESO,ingreso → preingreso,2.33
R1,be92464c-529e-412a-9f7e-981e662fb5ab,,PREINGRESO,CALADA,preingreso → calada,66.78
R7,02a72d0d-5ef8-48e7-9e87-2b574944f823,,INGRESO,PREINGRESO,ingreso → preingreso,1.75
R7,02a72d0d-5ef8-48e7-9e87-2b574944f823,,PREINGRESO,CALADA,preingreso → calada,58.22
R7,02a72d0d-5ef8-48e7-9e87-2b574944f823,,CALADA,EGRESO,calada → egreso,10.38
R7,02a72d0d-5ef8-48e7-9e87-2b574944f823,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,9.15
R7,02a72d0d-5ef8-48e7-9e87-2b574944f823,,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,4.13
R7,02a72d0d-5ef8-48e7-9e87-2b574944f823,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,22.10
R7,2279735e-68f5-4a3b-ae78-ae56f83d91b2__cycle_3,,INGRESO,CALADA,ingreso → calada,58.04
R7,2279735e-68f5-4a3b-ae78-ae56f83d91b2__cycle_3,,CALADA,EGRESO,calada → egreso,9.39
R7,47750d6b-70ee-4e8f-af69-b308a3fbe8f3,,INGRESO,PREINGRESO,ingreso → preingreso,1.83
R7,47750d6b-70ee-4e8f-af69-b308a3fbe8f3,,PREINGRESO,CALADA,preingreso → calada,57.11
R7,47750d6b-70ee-4e8f-af69-b308a3fbe8f3,,CALADA,EGRESO,calada → egreso,11.15
R7,47750d6b-70ee-4e8f-af69-b308a3fbe8f3,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.32
R7,47750d6b-70ee-4e8f-af69-b308a3fbe8f3,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,27.43
R7,01116772-eea5-4592-876c-a804a2479155,,INGRESO,PREINGRESO,ingreso → preingreso,1.58
R7,01116772-eea5-4592-876c-a804a2479155,,PREINGRESO,CALADA,preingreso → calada,57.45
R7,01116772-eea5-4592-876c-a804a2479155,,CALADA,EGRESO,calada → egreso,147.56
R7,01116772-eea5-4592-876c-a804a2479155,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.40
R7,01116772-eea5-4592-876c-a804a2479155,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,22.20
R1,c2d08745-15ef-4e39-8c23-e6c237d6ceaf,,INGRESO,PREINGRESO,ingreso → preingreso,2.00
R1,c2d08745-15ef-4e39-8c23-e6c237d6ceaf,,PREINGRESO,CALADA,preingreso → calada,48.36
R1,c2d08745-15ef-4e39-8c23-e6c237d6ceaf,,CALADA,BALANZA_INGRESO,calada → balanza ingreso,14.85
R1,9d0ce64d-690f-4a7d-b5b1-9ca8c4ae8638,,INGRESO,PREINGRESO,ingreso → preingreso,2.46
R1,9d0ce64d-690f-4a7d-b5b1-9ca8c4ae8638,,PREINGRESO,CALADA,preingreso → calada,43.04
R7,d21e51b8-488d-4cac-b677-2022e446d2a8__cycle_3,,INGRESO,PREINGRESO,ingreso → preingreso,2.92
R7,d21e51b8-488d-4cac-b677-2022e446d2a8__cycle_3,,PREINGRESO,CALADA,preingreso → calada,44.03
R7,d21e51b8-488d-4cac-b677-2022e446d2a8__cycle_3,,CALADA,EGRESO,calada → egreso,5.82
R7,d21e51b8-488d-4cac-b677-2022e446d2a8__cycle_3,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,7.65
