journey_id,patente,producto,circuito,tramo_operativo,sector,timestamp_inicio,timestamp_fin,duracion_minutos,es_stock_inicial,motivo_stock_inicial,fecha_inicio,hora_inicio,fecha_fin,hora_fin,estado_ejecutivo,planta
CTG_10133202087,EVQ156,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T13:53:00,2026-06-29T18:28:00,275,false,,2026-06-29,13:53,2026-06-29,18:28,,RICARDONE
CTG_10133189920,AG172CU,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T08:56:00,2026-06-29T13:38:00,282,false,,2026-06-29,08:56,2026-06-29,13:38,,RICARDONE
CTG_10233204567,GGA752,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T09:23:00,2026-06-29T14:06:00,283,false,,2026-06-29,09:23,2026-06-29,14:06,,RICARDONE
CTG_10233233450,CCT712,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T23:37:00,2026-06-30T04:20:00,283,false,,2026-06-29,23:37,2026-06-30,04:20,,RICARDONE
CTG_10233171080,EWL252,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T00:12:00,2026-06-29T05:11:00,299,false,,2026-06-29,00:12,2026-06-29,05:11,,RICARDONE
CTG_10233228798,GAS911,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T19:07:00,2026-06-30T00:36:00,329,false,,2026-06-29,19:07,2026-06-30,00:36,,RICARDONE
CTG_10133189858,AE174UO,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-29T01:40:00,2026-06-29T07:36:00,356,false,,2026-06-29,01:40,2026-06-29,07:36,,RICARDONE
CTG_10233244393,AB114CN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T22:10:00,2026-07-01T00:03:00,113,false,,2026-06-30,22:10,2026-07-01,00:03,,RICARDONE
CTG_10233239514,HCT170,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T22:11:00,2026-07-01T00:47:00,156,false,,2026-06-30,22:11,2026-07-01,00:47,,RICARDONE
CTG_10233226404,FHC341,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T07:22:00,2026-06-30T10:02:00,160,false,,2026-06-30,07:22,2026-06-30,10:02,,RICARDONE
CTG_10233224838,AE356VT,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T08:30:00,2026-06-30T11:13:00,163,false,,2026-06-30,08:30,2026-06-30,11:13,,RICARDONE
CTG_10133228846,AI211ER,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T07:55:00,2026-06-30T10:42:00,167,false,,2026-06-30,07:55,2026-06-30,10:42,,RICARDONE
CTG_10233240766,FSS628,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T22:27:00,2026-07-01T01:22:00,175,false,,2026-06-30,22:27,2026-07-01,01:22,,RICARDONE
CTG_10233233875,EQM498,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T02:12:00,2026-06-30T07:56:00,344,false,,2026-06-30,02:12,2026-06-30,07:56,,RICARDONE
CTG_10233219627,PPC620,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-06-30T00:39:00,2026-06-30T06:32:00,353,false,,2026-06-30,00:39,2026-06-30,06:32,,RICARDONE
CTG_10233285164,AB114CN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T23:45:00,2026-07-02T01:21:00,96,false,,2026-07-01,23:45,2026-07-02,01:21,,RICARDONE
CTG_10133299947,LVN867,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T23:50:00,2026-07-02T01:35:00,105,false,,2026-07-01,23:50,2026-07-02,01:35,,RICARDONE
CTG_10233275332,AA757WD,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T22:31:00,2026-07-02T00:23:00,112,false,,2026-07-01,22:31,2026-07-02,00:23,,RICARDONE
CTG_10133300005,MIC938,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T23:51:00,2026-07-02T02:07:00,136,false,,2026-07-01,23:51,2026-07-02,02:07,,RICARDONE
CTG_10133300059,NPA645,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T23:53:00,2026-07-02T02:21:00,148,false,,2026-07-01,23:53,2026-07-02,02:21,,RICARDONE
CTG_10133265611,FYH612,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T14:58:00,2026-07-01T17:34:00,156,false,,2026-07-01,14:58,2026-07-01,17:34,,RICARDONE
CTG_10133247345,EVN452,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T16:27:00,2026-07-01T19:04:00,157,false,,2026-07-01,16:27,2026-07-01,19:04,,RICARDONE
